Reference	Year	Sample.ID	SiO2.liq	TiO2.liq	Al2O3.liq	FeOt.liq	MnO.liq	MgO.liq	CaO.liq	Na2O.liq	K2O.liq	Cr2O3.liq	P2O5.liq	H2O.liq	SiO2.cpx	TiO2.cpx	Al2O3.cpx	FeOt.cpx	MnO.cpx	MgO.cpx	CaO.cpx	Na2O.cpx	K2O.cpx	Cr2O3.cpx	P_GPa	T_K
"Almeev, R.A., Holtz, F., Koepke, J., Parat, F., Botcharnikov, R.E. (2007)"	2007	146	50.1	1.54	14.78	11.35	0.23	7.52	11.49	2.4	0.09				50.4	0.62	6.72	7.21	0.19	15.55	17.27	0.61	0.01		0.2047	1448.15
"Almeev, R.A., Holtz, F., Koepke, J., Parat, F., Botcharnikov, R.E. (2007)"	2007	62	50.4	1.19	15.76	9.52	0.18	7.98	12.2	2.3	0.07				51.1	0.61	5.31	7.68	0.15	16.36	16.34	0.81	0.04		0.2037	1443.15
Andujar and Scaillet (2012)	2012	MB-114	60	0.7	19.7	3.05	0.13	0.36	0.63	9.8	5.7	0	0	2.79	50.9	1.27	1.88	12	0.95	11	21.2	0.74	0	0	0.05	1123.5
Andujar and Scaillet (2012)	2012	MB-117	59.4	0.7	19.4	3.24	0.31	0.37	0.65	10.2	5.8	0	0	1.98	49.9	1.1	2.34	11.6	1.46	11.3	21.4	0.86	0	0	0.05	1123.5
Andujar and Scaillet (2012)	2012	MB-22	60.7	0.67	19.4	3.1	0.16	0.28	0.6	9.8	5.34	0	0	3.12	52.3	0.86	0.85	11.3	1.14	11.9	20.8	0.92	0	0	0.1	1123.5
Andujar and Scaillet (2012)	2012	MB-43	60.74	0.66	19.7	3.09	0.19	0.28	0.61	9.4	5.4	0	0	2.79	51.6	1.35	1.82	11.4	0.99	10.5	20.8	1.54	0.1	0	0.05	1123.5
Andujar and Scaillet (2012)	2012	MB-44	58.9	0.62	20.4	3.18	0.22	0.32	0.78	10.4	5.24	0	0	2.55	50.2	2.13	2.45	12.3	1.03	9.6	20.5	1.68	0	0	0.05	1123.5
Andujar et al. (2008)	2008	18	60.5	0.75	19.7	3	0.23	0.3	0.5	10.1	4.9	0	0	0.9	48.7	3.13	3.12	12.24	1.03	9.53	17.68	3.67	0.08	0	0.05	1123.5
Andujar et al. (2008)	2008	20	62.4	0.38	20.3	2.4	0.22	0.14	0.4	9.6	4.2	0	0	9.9	47.4	2.51	3.62	13.83	1.78	8.13	16.4	4.37	0.04	0	0.25	1048.5
Andujar et al. (2008)	2008	23	61.1	0.12	20.4	2	0.24	0.07	0.16	9.7	6.2	0	0	10.8	47.4	2.95	4.02	15.33	2.42	6.09	14.02	5.52	0.05	0	0.25	973.5
Andujar et al. (2008)	2008	25	61.7	0.51	20	2.5	0.28	0.14	0.41	9.9	4.7	0	0	6.8	48.5	2.09	3.46	13.83	1.57	8.51	17.14	3.8	0.09	0	0.2	1073.5
Andujar et al. (2008)	2008	27b	61	0.4	20.7	2.5	0.25	0.08	0.32	10.6	4.1	0	0	9.6	46.1	4.23	3.78	18.91	1.79	3.92	16.72	3.77	0.03	0	0.2	1023.5
Andujar et al. (2008)	2008	28b	60.1	0.7	19.8	3.2	0.29	0.21	0.36	10.8	4.5	0	0	4.1	47.4	3.61	3.76	14.91	1.27	7.62	16.02	4.25	0.05	0	0.1	1073.5
Andujar et al. (2008)	2008	35	60.9	0.67	19.6	3.1	0.28	0.23	0.39	9.4	5.4	0	0	3.8	45.7	3.01	3.94	15.49	1.26	7.95	16.23	4.38	0.09	0	0.1	1098.5
Andujar et al. (2008)	2008	38	62.6	0.19	20.6	2.4	0.21	0.06	0.23	8.6	5	0	0	9.6	45.9	3.49	4.17	15.8	1.67	7.03	15.57	4.81	0.04	0	0.25	998.5
Andujar et al. (2008)	2008	43	61.9	0.57	19.9	2.6	0.21	0.19	0.44	8.9	5.3	0	0	2	47.3	2.92	3.95	13.68	1.23	8.64	17.09	4.15	0.03	0	0.2	1103.5
Andujar et al. (2008)	2008	44	61.5	0.63	19.8	2.7	0.28	0.32	0.6	8.8	5.4	0	0	2	48.9	1.79	3.16	10.75	1.23	10.81	18.26	3.37	0.12	0	0.2	1133.5
Andujar et al. (2008)	2008	45	61	0.47	20.5	2.8	0.23	0.17	0.35	9.5	5	0	0	5.6	47.1	3.73	3.68	14.56	1.31	7.2	15.42	4.95	0.1	0	0.2	1048.5
Andujar et al. (2010)	2010	LN-21	61.5	0.5	20.2	2.07	0.15	0.22	0.76	9.1	5.5	0	0	3.9	49.9	1.3	3.21	8.8	0.88	12.8	21.3	1.73	0	0	0.2	1160.5
Andujar et al. (2010)	2010	LN-23	61.4	0.49	19.9	2.31	0.16	0.26	0.73	9.1	5.7	0	0	4.1	49.2	1.44	3.86	10.62	1.04	11.3	20.7	1.87	0	0	0.1	1160.5
Andujar et al. (2010)	2010	LN-25	61.3	0.44	19.3	2.53	0.16	0.3	0.82	9.2	5.8	0	0	1.9	48.4	1.9	3.82	10.11	0.75	12.8	20.7	1.54	0	0	0.1	1198.5
Andujar et al. (2010)	2010	LN-30	61.5	0.33	19.6	2.34	0.18	0.22	0.7	9.3	5.8	0	0	3.7	50.1	1.5	2.48	9.69	0.98	12.6	21	1.66	0	0	0.2	1148.5
Andujar et al. (2010)	2010	LN-30	61.5	0.33	19.6	2.34	0.18	0.22	0.7	9.3	5.8	0	0	3.7	50.1	1.5	2.48	9.69	0.98	12.6	21	1.66	0	0	0.2	1148.5
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-10	49.4	4.09	15.8	13.2	0.13	3.47	6.4	3.72	1.24		0.85		47.3	1.78	8.86	14.1	0.22	12.9	13.1	1.14		0.03	1.3	1433.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-13	48.6	3.49	15.5	14	0.12	2.96	6.44	3.14	1.46		1.38		48.8	1.4	7.59	16.4	0.22	12.7	12.3	0.85		0.02	1.3	1403.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-14	50.6	4.18	15.6	11.7	0.1	3.37	6.59	3.93	1.1	0.01	1.34		48.6	1.87	10.2	12	0.16	12.6	14.3	1.77		0.03	1.6	1473.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-33/2	66.1	2.14	13.4	5.81	0.1	1.63	3.73	2.28	2.88		1.05		51.4	0.8	1.75	10.9	0.29	13.9	19.8	0.33		0.01	0.0001	1344.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-34	60.7	2.34	13.2	7.25	0.16	2.98	5.77	2.79	2.2		1.72		52.5	0.33	1.58	9.89	0.24	13.29	22.5	0.37		0.05	0.0001	1358.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-35	51	4.27	16.4	12.6	0.26	4.22	6.71	3.57	1.03	0.14	0.87		48.3	1.35	9.69	14.9	0.25	14.1	9.52	1.14		0.06	1.6	1488.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-4	47.1	4.21	12	17.8	0.18	3.4	7.28	2.93	2.02		2.32		50.6	0.83	1.81	24.4	0.33	16.9	4.15	0.17		0.01	0.7	1368.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-47	50.2	4.42	11.5	15.1	0.19	3.39	7.06	3.65	1.69	0.03	1.42		50.4	0.9	1.21	22.5	0.31	17.9	4.8	0.11		0.05	0.5	1373.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-52	54.1	3.26	11.8	13.2	0.2	2.83	6.57	2.83	1.62	0.03	1.15		50.8	0.7	1.3	23.1	0.33	18.6	3.2	0.18	0.01		0.0001	1353.15
"Auwera, J. V., and Longhi, J. (1994)"	1994	TJ-8	49.1	3.22	14.4	14.8	0.14	3.2	6.72	3.34	1.7		1.13		48.8	1.16	5.22	16.3	0.25	13.2	13.9	0.63		0.04	1	1373.15
"Auwera, J.V., Longhi, J., and Duchesne, J.C. (1998)"	1998	VB-13	55.2	2.33	11.79	15.58	0.22	1.39	5.12	4.68	4.04		1.73		49.8	0.79	0.95	30.89	0.59	12.7	4.42	0.08		0.01	0.5	1347.15
"Auwera, J.V., Longhi, J., and Duchesne, J.C. (1998)"	1998	VB-14	45.8	4.16	10.87	20.17	0.32	3.25	7.49	2.69	2.04		2.84		50.9	0.83	1.15	26.25	0.51	16.41	4.19	0.08		0.01	0.5	1351.15
"Baker, M.B., Grove, T.L., Price, R. (1994)"	1994	82-94A-15	55.9	1.11	14.86	7.41	0.17	6	9	3.4	0.81	0.05	0.28		52.9	0.39	2.6	5.7	0.13	18	20	0.3		0.6	0.0001	1433.15
"Baker, M.B., Grove, T.L., Price, R. (1994)"	1994	82-94A-16	56.8	1.36	14.4	7.8	0.16	5.17	8.3	3.61	0.97		0.37		52.7	0.46	2.2	6.7	0.2	18.2	18.2	0.35		0.7	0.0001	1422.15
"Baker, M.B., Grove, T.L., Price, R. (1994)"	1994	82-94A-18	57.7	1.48	14.44	7.4	0.14	4.46	7.3	4	1.24		0.29		53	0.5	1.9	7	0.16	17.7	18.9	0.25		0.5	0.0001	1413.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1008	49.8	3.06	12.5	17.1	0.38	3.09	6.97	3.11	1.85		0.7		52	0.61	2.24	24	0.78	16.9	4.94	0.16			0.8	1398.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1010	57.2	1.65	13.8	10.9	0.23	2.23	5.67	3.78	3.02		0.4		50.9	0.98	2.35	17.9	0.45	15.8	11.3	0.24			0.8	1398.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1074	60.7	1.1	15.3	8.71	0.31	1.15	5.97	4.09	2.1		0.41		51.4	0.47	1.48	25	0.75	16	5.05	0.06			0.8	1348.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1075	60.8	0.89	13.4	10.2	0.41	2.14	4.96	3.98	2.34		0.46		51.4	0.57	1.54	23.8	0.85	16.9	4.8	0.08			0.8	1348.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1086	59.2	1.23	14.6	8.61	0.22	2.74	5.82	3.7	2.75		0.32		51.8	0.43	1.76	11.3	0.58	14.6	18.4	0.27			0.0001	1379.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1098	42.8	5.63	12.2	20	0.35	3.63	8.2	2.27	2.06		1.55		48.8	1.96	6.5	15.1	0.37	12.9	14.7	0.57			0.8	1448.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	11	66.2	0.7	14.7	4.94		0.78	1.98	3.71	5.19		0.26		51.5	0.52	1.98	11.2		14.5	19.3	0.33			0.0001	1333.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1147	60.6	1	16	5.56	0.14	1.8	4.47	3.61	3.58		0.18	1.8	52.3	0.57	1.46	10.8	0.51	14.1	19.5	0.19			0.2	1293.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1148	60	1.12	15.3	6.72	0.13	1.32	4.34	3.79	3.26		0.28	1.8	51.9	0.69	1.68	11	0.31	14.3	19.3	0.37			0.2	1293.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1162	59.5	1.61	15.2	6.38	0.24	2.26	5.95	3.71	1.58		0.3	1.8	51.6	0.95	2.84	9.69	0.41	14.4	19.2	0.39			0.2	1333.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1164	61.5	1.09	15.7	5.47	0.11	2.06	4.9	3.6	2.87		0.21	1.8	51	0.61	1.86	10.2	0.36	14.8	19.9	0.31			0.2	1333.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1165	59.9	1.28	15.2	6.9	0.25	2.24	5.46	3.58	2.44		0.38	1.8	51.9	0.55	1.86	11.1	0.55	14.6	19.3	0.39			0.2	1333.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1173	68.4	1.21	14.2	2.13	0.2	0.85	2.31	3.73	3.98		0.18	1.9	51.8	0.4	1.84	9.71	0.49	15.1	19.8	0.26			0.2	1293.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1174	66.1	0.77	13.4	3.66	0.07	0.65	2.45	3.69	3.62		0.23	1.9	51.6	0.48	1.98	11.2	0.52	14.5	19.3	0.25			0.2	1293.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1180	55.7	1.99	15.8	5.87	0.19	3.66	7.44	3.97	1.42		0.38	1.8	50.4	1.55	4.5	6.66	0.4	15.6	19	0.52			0.2	1373.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1222	59.3	1.22	14.7	8.13	0.11	2.43	5.53	3.56	3.36		0.33		51.3	0.49	1.67	10.5	0.46	14.3	19.9	0.35			0.0001	1373.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1234	56.3	2.43	14	6.87	0.31	4.19	7.49	3.75	1.49		0.44	1.8	51	1.85	3.07	7.53	0.55	16.5	18.1	0.36			0.2	1393.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1248	58.7	1.13	16.5	5.6	0.14	1.56	4.55	3.88	3.61		0.25	1.8	51.4	0.53	1.77	10.2	0.37	14.6	20	0.29			0.2	1293.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1249	58.8	1.19	16.2	4.32	0.2	2.5	4.85	3.91	2.64		0.25	1.8	51.8	0.72	2.06	8.13	0.4	16.4	19.3	0.08			0.2	1293.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1280	52.3	3.27	12.3	13.7	0.34	3.83	8.61	2.15	1.46		0.46		51.2	0.92	1.95	11.9	0.54	14.3	19.1	0.22			0.0001	1373.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1286	62.4	1.88	15.2	4.29	0.16	1.1	3.08	4.21	4.65		0.52	2	49.9	0.71	4.14	10.6	0.21	15.8	15.9	0.27			0.5	1333.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1287	57.2	1.2	15.7	6.58	0.19	2.13	5.31	3.85	2.51		0.27	1.7	50.4	0.75	3.38	11.6	0.4	14.1	18.4	0.33			0.5	1333.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	1304	51.4	2.12	13	13.5	0.39	4.55	9.5	2.65	1.23		0.35		51.3	0.51	2.37	10.3	0.36	14.3	20.1	0.13			0.0001	1395.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	3	63.7	1.14	14.3	7.36		1.61	3.78	4.21	4.22		0.33		52.2	0.53	1.67	11.2		15.5	19	0.42			0.0001	1368.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	4	63.6	1.09	14.6	5.81		1.42	3.04	4	5.11		0.34		51.1	0.49	1.7	9.97		14.6	20	0.43	0.1		0.0001	1368.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	704	65.2	1.11	14.6	2.07	0.08	0.92	2.46	4.06	4.1		0.26	2	51.8	0.47	1.88	10.5	0.45	14.7	19.4	0.39			0.2	1273.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	802	48.7	0.69	17.2	9.69	0.09	8.51	11.6	2.63	0.44		0.12		51.2	0.33	7.25	5.89	0.16	17.7	17.5	0.44			0.8	1523.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	805	48.2	0.98	16.7	9.83	0.17	8.13	11.8	2.64	0.42		0.23		50.5	0.55	7.06	5.25	0.13	16.5	18.9	0.33			0.8	1473.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	808	47.8	1.21	15.9	11.3	0.25	7.17	11.5	2.77	0.55		0.19		50.2	0.63	6.75	6.36	0.2	15.6	19.2	0.26			0.8	1473.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	819	48.4	1.16	15.6	12.7	0.3	7.25	10.8	2.65	0.54		0.16		50.7	0.64	6.1	7.5	0.18	16.5	17.6	0.36			0.8	1473.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	869	49	2.13	14.3	14.6	0.11	5.12	8.73	3.11	1.14		0.33		52.1	0.36	2.75	13.8	0.37	18.1	12.1	0.38			0.8	1423.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	874	65.8	1.16	14.9	4.31	0.13	1.72	3.64	3.76	3.99		0.53		51.8	0.55	2.03	10.8	0.58	14.4	19.2	0.26			0.0001	1356.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	886	64.2	1.23	14.9	4.27	0.21	1.4	3.61	3.64	4.48		0.47		51.8	0.52	1.9	10.1	0.49	14.2	20.1	0.4			0.0001	1356.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	891	47.8	2.62	14	16.2	0.32	4.67	7.85	3.32	1.5		0.53		51.3	0.53	3.75	17.1	0.53	20.2	5.98	0.13			0.8	1423.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	911	59.4	1.44	12.8	11.6	0.34	1.83	5.44	3.56	2.26		0.36		50.7	0.52	1.95	24	0.76	16.3	5.34	0.13			0.8	1398.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	917	61.7	1.45	12.5	10.2	0.3	1.09	4.23	3.72	2.93		0.64		50.9	0.46	1.31	25.1	1.03	16.5	4.45	0.02			0.8	1373.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	934	49.1	1.62	16.2	13.5	0.25	6.13	8.38	3.22	0.96		0.23		51.2	0.64	5.53	14.8	0.46	21.5	5.66	0.18			0.8	1448.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	940	48.3	1.2	14.9	13.9	0.36	7.45	9.23	2.33	1.02		0.25		52	0.67	5.18	10.7	0.33	18.9	11.8	0.06			0.8	1448.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	944	60.8	1.2	13.2	10.1	0.28	2.02	4.81	3.5	2.42		0.53		51.3	0.43	1.56	23.3	0.72	17.5	4.53	0.06			0.8	1373.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	953	47.6	2.07	14.9	15.7	0.31	5.7	8.23	3.02	1.16		0.48		51.9	0.5	4.57	16.8	0.46	20.9	5.8	0.18			0.8	1423.15
"Baker, R.B., and Eggler, D.H. (1987)"	1987	989	56.4	1.96	13.4	11.8	0.31	2.07	5.76	3.25	3.29		0.54		49.6	0.7	3.63	18.3	0.65	15.3	11.1	0.33			0.8	1398.15
"Barclay, J., Carmichael, I.S.E. (2004)"	2004	Jor46.10	52	0.94	16.01	3.64	0.13	2.9	4.8	5.51	3.2			5.36	51.4	0.7	2.7	6	0.08	15.6	22.34	0.47			0.221	1308.15
"Barclay, J., Carmichael, I.S.E. (2004)"	2004	Jor46.19	53.3	1.5	16.81	4.1	0.13	3.34	6.13	5.4	3.4			3	51.4	0.86	3	6.9	0.1	15.2	22.4	0.51			0.069	1273.15
"Barclay, J., Carmichael, I.S.E. (2004)"	2004	Jor46.20	50.1	1.51	15.07	3.87	0.09	4.46	6.78	4.7	3.1			5.66	51.2	0.86	2.5	5.9	0.12	15.5	22.29	0.46			0.232	1333.15
"Barclay, J., Carmichael, I.S.E. (2004)"	2004	Jor46.21	56.3	0.79	17.37	2.35	0.1	1.95	3.44	5.71	4.08			3.51	50.5	0.9	2.7	6.5	0.13	15.4	22.2	0.52			0.104	1293.15
"Barclay, J., Carmichael, I.S.E. (2004)"	2004	Jor46.23	60.5	0.55	18.22	1.26	0.05	0.92	2.03	6.62	4.5			2.53	50.3	1.1	3.4	6.8	0.17	14.8	21.9	0.56			0.054	1248.15
"Barclay, J., Carmichael, I.S.E. (2004)"	2004	Jor46.3	56.7	0.38	16.85	2.07	0.09	1.56	2.25	5.56	4.29			3.43	50.9	1	2.6	6.2	0.11	16	22.3	0.41			0.094	1273.15
"Barclay, J., Carmichael, I.S.E. (2004)"	2004	Jor46.31	57.1	0.42	15.96	1.78	0.05	1.45	2.7	5.65	3.98			4.13	51.7	0.68	2.2	5.4	0.13	16.1	22.1	0.47			0.121	1240.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	B12	48.8	0.58	19.3	8.63	0.17	9.83	11.5	2.77	0.09		0.17		50.4	0.32	10.2	5.38	0.15	19.1	14.9	0.48		0.08	1.2	1558.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	B14	48.1	0.57	18.7	8.14	0.21	10.5	11.9	2.41	0.08	0.06	0.13		50.2	0.35	9.8	4.7	0.14	18.8	16	0.45		0.13	1.1	1563.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	BIO	48.8	0.58	19.2	8.49	0.2	10.1	11.6	2.74	0.08		0.16		49.3	0.37	11.8	5.11	0.14	18.2	15.5	0.5		0.17	1.2	1563.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H100	48.6	0.63	18.8	8.76	0.16	9.69	11.5	2.73	0.1	0.03	0.03		48.7	0.37	11.8	6.31	0.11	15.9	15.4	0.75		0.08	1.5	1618.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H101	48.4	0.66	19.3	8.93	0.18	8.78	10.9	2.93	0.1	0.03	0.03		49.2	0.31	11.4	5.64	0.11	16.8	15.3	0.62		0.12	1.5	1588.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H131	48.2	0.7	18.6	9.64	0.21	8.94	10.5	3.09	0.12		0.04		49.7	0.4	10.3	5.64	0.13	17.9	15.8	0.53		0.14	1.2	1553.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H141	49	0.88	17.4	11	0.1	8.34	10.6	2.89	0.16				51	0.43	7.02	6.56	0.15	19.8	14.8	0.38		0.07	1	1553.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H142	48.9	0.81	17.5	10.8	0.11	8.52	10.5	2.99	0.15				51.7	0.35	6.3	7.56	0.15	20.7	12.4	0.4		0.11	1	1543.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H192	48	0.64	17.9	9.07	0.16	9.49	10.1	2.99	0.14	0.03	0.04		51.5	0.45	8.1	6.96	0.17	20.3	12.6	0.56		0.09	1.5	1613.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H201	48.3	0.7	18.7	8.77	0.11	8.73	10.3	3.06	0.13		0.06		50	0.43	9.53	6.61	0.16	17.9	14.6	0.65		0.08	1.2	1553.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H202	47.9	0.68	18.8	8.5	0.12	8.93	11.1	2.8	0.11		0.03		49.3	0.35	10.2	5.67	0.15	17.4	15.8	0.61		0.1	1.2	1563.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H203	47.4	0.8	17.8	9.99	0.16	9.32	8.61	4.44	0.21	0.02	0.13		49.9	0.4	11	6.83	0.18	19.2	11.7	0.89			1.5	1628.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H204	48.4	0.72	18.8	9.41	0.14	8.63	10.5	3.07	0.13		0.06		50.3	0.37	9.45	6.25	0.16	18.2	14.9	0.57		0.12	1.2	1553.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H225	47.6	0.8	18.3	9.43	0.14	9.31	11.1	2.7	0.11		0.06		49.9	0.41	10.3	5.79	0.15	18	15.1	0.51		0.08	1.1	1558.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H235	49.9	0.65	17.4	7.9	0.1	10.8	11.5	2.3	0.11		0.15		49.1	0.41	11.9	5	0.14	17.6	16.3	0.45		0.13	1.1	1566.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H81	48.1	0.89	17.4	10.7	0.19	8.33	10.7	3.12	0.15	0.04	0.07		51.3	0.51	7.1	5.97	0.2	18	17.2	0.43		0.18	1	1533.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H83	48.3	1.03	16.7	11.4	0.22	8.08	10.6	3.35	0.17	0.03	0.09		52.5	0.5	5.5	6.29	0.2	18	17.8	0.41		0.17	1	1518.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H88	47	1.24	16.3	12.7	0.23	7.46	10	3.42	0.19	0.03	0.13		50.7	0.54	6.4	6.66	0.22	17.6	17	0.45		0.14	1	1513.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H94a	48	0.9	18.2	11.3	0.18	7.91	9.13	3.85	0.18	0.04	0.07		50.6	0.67	7.9	8	0.23	17.9	14.7	0.59		0.11	1.2	1538.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H95	48.1	0.63	18.6	8.69	0.16	9.46	11.4	2.66	0.1		0.02		50.5	0.36	9.4	5.6	0.17	18.6	15.7	0.5		0.2	1.2	1563.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H96a	47.1	0.8	18.4	10.7	0.17	8.53	9.9	3.36	0.14		0.05		50.2	0.39	9.6	6.58	0.18	18.7	14.6	0.53		0.1	1.2	1543.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H97	47.8	0.63	18.7	9.07	0.16	9.23	11.3	2.76	0.1		0.03		50.4	0.39	9.3	5.99	0.19	18.6	15.4	0.51		0.11	1.2	1558.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	H98	47.8	0.6	17.9	8.47	0.17	10	11.8	2.45	0.09	0.04	0.02		51.4	0.38	9.4	5.7	0.15	17.9	14.6	0.81		0.17	1.2	1583.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	HI 32	48.3	0.76	18.8	9.96	0.18	8.44	10.2	3.25	0.12		0.04		49.9	0.38	10.2	6.68	0.2	17.9	14.6	0.62		0.1	1.2	1543.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	HI 34	48.6	0.66	19.7	9.21	0.13	8.24	10.7	2.93	0.11		0.03		48.7	0.36	12.9	5.61	0.15	15.7	16.9	0.86		0.1	1.5	1578.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	HI 35	49	0.73	19.7	9.8	0.13	7.24	9.62	3.72	0.17		0.03		49.1	0.45	12.3	7.12	0.16	15.8	15.5	0.99		0.04	1.5	1563.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	HI 36	47.9	1.53	18.1	13.8	0.16	5.31	7.04	5.65	0.47		0.24		49.2	0.66	9.8	10.6	0.23	16.3	12.7	1.01		0.02	1.5	1548.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)"	1991	HI 97	47.2	0.84	19.3	10.8	0.16	6.28	8.61	4.98	0.23		0.11		51.7	0.28	8.38	6.69	0.15	21.4	11.7	0.64		0.05	1.5	1598.15
"Bender, J.F., Hodges, F.N., Bence, A.E. (1978)"	1978	24	48.6	0.58	17.6	9.26	0.15	9.58	11.7	2.13	0.06				50.4	0.28	10.2	6.01	0.13	18.2	14.8	0.46		0.3	1.2	1583.15
"Bender, J.F., Hodges, F.N., Bence, A.E. (1978)"	1978	27	47.5	0.55	16.9	8.92	0.12	10.2	11.8	2.01	0.07				50	0.26	9.86	5.53	0.09	17.8	15.6	0.59		0.39	1.5	1613.15
"Bender, J.F., Hodges, F.N., Bence, A.E. (1978)"	1978	29	49.1	0.52	16.5	9.15	0.14	10.7	12.3	1.88	0.05				50.7	0.46	9.74	5.37	0.09	17.8	16.8	0.39		0.5	1	1553.15
"Bender, J.F., Hodges, F.N., Bence, A.E. (1978)"	1978	46	49.4	0.7	17.3	9.22	0.14	8.98	12.43	1.93	0.08				49.6	0.54	8.35	7.64	0.15	17.9	15.9	0.34		0.3	0.8	1523.15
